Country Name	ISO3	EEZ km2	landlocked	SIDS (1-car, 2-pac, 3-aims)	GDP per capita	GDP 2020	GDP PPP 2020	Population 2020	HAB forecast	LDC	coastline (world factbook km)	AlgaeBase hits [marine]	WB_order	haedat_n	obis_n
Micronesia, Fed. Sts.	FSM	2996419	0	2	3542.96979	407515928	408623149	115021	39	0	6112	900	80	0	503
Gabon	GAB	202790	0	0	6881.71423	15300000000	33600000000	2225728	8	0	885	125	81	0	205
United Kingdom	GBR	6805586	0	0	41098.0787	2760000000000	3120000000000	67081000	462	0	12429	2990	82	26	12902
Georgia	GEO	21946	0	0	4255.74299	15800000000	54800000000	3722716	NA	0	310	173	83	0	850
Ghana	GHA	235349	0	0	2254.15389	70000000000	179000000000	31072945	56	0	539	512	84	0	4
Gibraltar	GIB	0	0	0	NA	NA	NA	33691	NA	0	12	7	85	0	52
Guinea	GIN	59426	0	0	1078.95001	14200000000	36200000000	13132792	115	1	320	28	86	0	17
Gambia, The	GMB	23112	0	0	757.413112	1830413000	5501899807	2416664	26	1	80	350	87	0	2
Guinea-Bissau	GNB	123725	0	3	727.520172	1431758243	3834926315	1967998	7	1	350	23	88	0	0
Equatorial Guinea	GNQ	303509	0	0	7198.33588	10100000000	25500000000	1402985	4	0	296	81	89	0	1
Greece	GRC	505572	0	0	17647.2327	189000000000	299000000000	10700556	196	0	13676	1282	90	40	2877
Grenada	GRD	27426	0	1	9273.19929	1043411111	1718563487	112519	27	0	121	4	91	0	150
Greenland	GRL	0	0	0	54570.375	3075968329	NA	56367	197	0	44087	317	92	NA	NA
Guatemala	GTM	114170	0	0	4603.33964	77600000000	149000000000	16858333	73	0	400	19	93	1	9
Guam	GUM	0	0	2	34624.3401	5844000000	NA	168783	75	0	125.5	527	94	NA	NA
Guyana	GUY	137765	0	1	6955.93922	5471256595	15500000000	786559	12	0	459	27	95	0	0
High income	NA	0	0	0	43282.4235	53700000000000	62600000000000	1240684527	NA	0	NA	NA	96	NA	NA
Hong Kong SAR, China	HKG	0	0	0	46100.9759	345000000000	441000000000	7481000	281	0	733	0	97	NA	NA
Honduras	HND	249542	0	0	2405.73285	23800000000	53700000000	9904608	36	0	832	10	98	0	0
Heavily indebted poor countries (HIPC)	NA	0	0	0	975.474262	803000000000	2210000000000	823480038	NA	0	NA	NA	99	NA	NA
Croatia	HRV	59032	0	0	14132.4866	57200000000	116000000000	4047680	73	0	5835	322	100	0	1030
Haiti	HTI	126760	0	1	1272.36799	14500000000	35300000000	11402533	39	1	1771	305	101	0	0
Hungary	HUN	0	1	0	16075.9733	157000000000	324000000000	9750149	66	0	0	39	102	NA	NA
IBRD only	NA	0	0	0	6176.40377	30000000000000	67200000000000	4862446431	NA	0	NA	NA	103	NA	NA
IDA & IBRD total	NA	0	0	0	4925.38124	32400000000000	73900000000000	6571053159	NA	0	NA	NA	104	NA	NA
IDA total	NA	0	0	0	1365.04784	2330000000000	6770000000000	1708606728	NA	0	NA	NA	105	NA	NA
IDA blend	NA	0	0	0	1740.60381	999000000000	3000000000000	574159138	NA	0	NA	NA	106	NA	NA
Indonesia	IDN	6159032	0	0	3870.55762	1060000000000	3300000000000	273523621	197	0	54716	1172	107	0	669
IDA only	NA	0	0	0	1175.58661	1330000000000	3780000000000	1134447590	NA	0	NA	NA	108	NA	NA
Isle of Man	IMN	0	0	0	NA	NA	NA	85032	30	0	160	NA	109	NA	NA
India	IND	2305143	0	0	1933.10107	2670000000000	9010000000000	1380004385	456	0	7000	2631	110	8	99
Not classified	NA	0	0	0	NA	NA	NA	NA	NA	0	NA	NA	111	NA	NA
Ireland	IRL	410310	0	0	85422.5429	426000000000	465000000000	4985674	456	0	1448	1960	112	2	57067
Iran, Islamic Rep.	IRN	168718	0	0	2756.74998	232000000000	1330000000000	83992953	125	0	2440	440	113	0	0
Iraq	IRQ	771	0	0	4583.74749	184000000000	400000000000	40222503	40	0	58	660	114	0	0
Iceland	ISL	751345	0	0	59264.0341	21700000000	19600000000	366463	159	0	4970	473	115	14	1754
Israel	ISR	26352	0	0	44177.5712	407000000000	364000000000	9215100	137	0	273	650	116	0	0
Italy	ITA	541915	0	0	31834.9726	1890000000000	2500000000000	59449527	505	0	7600	1692	117	0	3664
Jamaica	JAM	258137	0	1	4664.53024	13800000000	27400000000	2961161	61	0	1022	317	118	0	0
Jordan	JOR	166	0	0	4282.76582	43700000000	106000000000	10203140	185	0	26	67	119	0	0
Japan	JPN	4479388	0	0	39918.1676	5040000000000	5320000000000	126261000	906	0	29751	3318	120	4	26797
Kazakhstan	KAZ	0	1	0	9121.63714	171000000000	502000000000	18755666	29	0	0	60	121	0	0
Kenya	KEN	116942	0	0	1872.12403	101000000000	247000000000	53771300	124	0	536	487	122	1	5
Kyrgyz Republic	KGZ	0	1	0	1182.5217	7780874537	32800000000	6579900	8	0	0	0	123	NA	NA
Cambodia	KHM	62515	0	0	1547.51139	25900000000	74000000000	16718971	42	1	443	13	124	0	0
Kiribati	KIR	3441810	0	2	1514.59106	180911844	259420938	119446	28	1	1143	15	125	0	500
St. Kitts and Nevis	KNA	9974	0	1	18440.8537	980905889	1363802433	53192	3	0	135	0	126	0	0
Korea, Rep.	KOR	475469	0	0	31597.5046	1640000000000	2340000000000	51836239	576	0	2413	63	127	84	755
Kuwait	KWT	11026	0	0	24811.7697	106000000000	202000000000	4270563	86	0	499	526	128	1	0
Latin America & Caribbean (excluding high income)	NA	0	0	0	6765.53278	4000000000000	8880000000000	590928198	NA	0	NA	NA	129	NA	NA
Lao PDR	LAO	0	1	0	2608.98283	19000000000	59900000000	7275556	41	1	0	0	130	NA	NA
Lebanon	LBN	19516	0	0	3801.79274	25900000000	77700000000	6825442	39	0	225	585	131	0	17
Liberia	LBR	249734	0	0	601.063006	3039982540	7425910175	5057677	9	1	579	120	132	0	0
Libya	LBY	351589	0	0	7614.32545	52300000000	119000000000	6871287	12	0	1770	236	133	2	20
St. Lucia	LCA	15617	0	1	8804.56109	1616772748	2333703228	183629	33	0	158	0	134	0	0
Latin America & Caribbean	NA	0	0	0	7270.70358	4740000000000	10200000000000	652365260	NA	0	NA	NA	135	NA	NA
Least developed countries: UN classification	NA	0	0	0	1099.20156	1160000000000	3450000000000	1057131013	NA	0	NA	NA	136	NA	NA
Low income	NA	0	0	0	703.733845	481000000000	1430000000000	683532991	NA	0	NA	NA	137	NA	NA
Liechtenstein	LIE	0	1	0	NA	NA	NA	38137	4	0	0	0	138	NA	NA
Sri Lanka	LKA	532619	0	0	3694.04095	81000000000	290000000000	21919000	61	0	1340	546	139	0	0
Lower middle income	NA	0	0	0	2285.71111	7590000000000	24500000000000	3318682068	NA	0	NA	NA	140	NA	NA
Low & middle income	NA	0	0	0	4759.77608	30900000000000	70800000000000	6494812232	NA	0	NA	NA	141	NA	NA
Lesotho	LSO	0	1	0	1050.63163	2250717718	5504168915	2142252	1	1	0	0	142	NA	NA
Late-demographic dividend	NA	0	0	0	9699.08937	22500000000000	42700000000000	2316803603	NA	0	NA	NA	143	NA	NA
Lithuania	LTU	7031	0	0	20232.302	56500000000	109000000000	2794885	39	0	90	36	144	0	684
Luxembourg	LUX	0	1	0	116356.158	73400000000	74300000000	630419	71	0	0	3	145	NA	NA
Latvia	LVA	28452	0	0	17703.9534	33600000000	59700000000	1900449	31	0	498	25	146	10	1715
Macao SAR, China	MAC	0	0	0	39403.1359	25600000000	39500000000	649342	5	0	41	0	147	NA	NA
St. Martin (French part)	MAF	0	0	0	NA	NA	NA	38659	28	0	58.9	NA	148	NA	NA
Morocco	MAR	575230	0	0	3058.69165	115000000000	276000000000	36910558	77	0	2945	761	149	0	90
Monaco	MCO	288	0	0	173688.189	6816219303	NA	39244	106	0	4.1	10	150	0	0
Moldova	MDA	0	1	0	4525.75965	11900000000	33900000000	2620495	4	0	0	0	151	NA	NA
Madagascar	MDG	1225259	0	0	477.613041	13200000000	42800000000	27691019	53	1	4828	502	152	3	2
Maldives	MDV	923322	0	3	6924.10574	3742769967	7266174293	540542	39	0	644	313	153	0	2
Middle East & North Africa	NA	0	0	0	6688.08728	3110000000000	7710000000000	464542370	NA	0	NA	NA	154	NA	NA
Mexico	MEX	3269386	0	0	8431.66502	1090000000000	2410000000000	128932753	1190	0	9330	4756	155	30	430
Marshall Islands	MHL	1990530	0	2	4129.851	244462400	245483274	59194	12	0	370.4	302	156	0	0
Middle income	NA	0	0	0	5237.02247	30400000000000	69400000000000	5811279241	NA	0	NA	NA	157	NA	NA
North Macedonia	MKD	0	1	0	5846.4659	12100000000	34700000000	2072531	0	0	0	85	158	NA	NA
Mali	MLI	0	1	0	862.453012	17500000000	47500000000	20250834	25	1	0	0	159	NA	NA
Malta	MLT	54823	0	0	28946.4627	14900000000	22300000000	515332	45	0	252.8	241	160	0	20
Myanmar	MMR	532775	0	0	1450.66267	78900000000	279000000000	54409794	46	1	1930	0	161	0	0
Middle East & North Africa (excluding high income)	NA	0	0	0	3190.3251	1260000000000	4360000000000	396147843	NA	0	NA	NA	162	NA	NA
Montenegro	MNE	7745	0	0	7694.63376	4780722122	12400000000	621306	23	0	293.5	0	163	0	15
Mongolia	MNG	0	1	0	4060.95052	13300000000	40500000000	3278292	30	0	0	176	164	NA	NA
Northern Mariana Islands	MNP	0	0	2	NA	NA	NA	57557	24	0	1482	8	165	NA	NA
Mozambique	MOZ	578986	0	0	448.843891	14000000000	40500000000	31255435	54	1	2470	360	166	0	2
Mauritania	MRT	165338	0	0	1702.48696	7915985514	25100000000	4649660	38	1	754	299	167	0	5
Mauritius	MUS	1284997	0	3	8632.75286	10900000000	26000000000	1265740	46	0	177	719	168	0	4
Malawi	MWI	0	1	0	636.28631	12200000000	30400000000	19129955	32	1	0	0	169	NA	NA
Malaysia	MYS	334671	0	0	10412.3477	337000000000	904000000000	32365998	207	0	4675	324	170	30	48
North America	NA	0	0	0	61000.8553	22500000000000	22700000000000	369602177	NA	0	NA	NA	171	NA	NA
Namibia	NAM	564748	0	0	4157.01951	10600000000	23800000000	2540916	63	0	1572	278	172	4	243
New Caledonia	NCL	0	0	2	34694.5504	9435529927	NA	271960	60	0	2254	0	173	NA	NA
Niger	NER	0	1	0	567.669892	13700000000	31200000000	24206636	46	1	155	0	174	NA	NA
Nigeria	NGA	217313	0	0	2097.09247	432000000000	1070000000000	206139587	71	0	853	77	175	1	0
