Country Name	ISO3	EEZ km2	landlocked	SIDS (1-car, 2-pac, 3-aims)	GDP per capita	GDP 2020	GDP PPP 2020	Population 2020	HAB forecast	LDC	coastline (world factbook km)	AlgaeBase hits [marine]	WB_order	haedat_n	obis_n
Nicaragua	NIC	123881	0	0	1900.04359	12600000000	36900000000	6624554	37	0	910	0	176	0	3
Netherlands	NLD	154011	0	0	52396.0322	914000000000	1030000000000	17441500	653	0	451	1762	177	12	24138
Norway	NOR	2385178	0	0	67329.6778	362000000000	337000000000	5379475	483	0	83281	742	178	30	8013
Nepal	NPL	0	1	0	1147.47197	33400000000	116000000000	29136808	40	1	0	35	179	NA	NA
Nauru	NRU	308480	0	2	10580.2682	114626626	155329933	10834	6	0	30	0	180	0	0
New Zealand	NZL	4420565	0	0	41596.5055	212000000000	227000000000	5090200	491	0	15134	2345	181	24	2179
OECD members	NA	0	0	0	38116.4222	52300000000000	61500000000000	1372980201	NA	0	NA	NA	182	NA	NA
Oman	OMN	533180	0	0	14485.3861	74000000000	159000000000	5106622	129	0	2092	445	183	17	52
Other small states	NA	0	0	0	11792.0664	377000000000	711000000000	31929881	NA	0	NA	NA	184	NA	NA
Pakistan	PAK	290000	0	0	1359.51452	300000000000	1200000000000	220892331	75	0	1046	417	185	0	0
Panama	PAN	335646	0	0	12509.8353	54000000000	116000000000	4314768	96	0	2490	387	186	0	1
Peru	PER	906454	0	0	6117.49357	202000000000	393000000000	32971846	176	0	2414	393	187	5	20042
Philippines	PHL	1590780	0	0	3301.2186	362000000000	920000000000	109581085	229	0	36289	2302	188	2	857
Palau	PLW	603978	0	2	14243.8647	257700000	295237540	18092	40	0	1519	152	189	0	85
Papua New Guinea	PNG	2402288	0	2	2757.01102	24700000000	38300000000	8947027	51	0	5152	345	190	0	172
Poland	POL	29797	0	0	15742.4537	597000000000	1300000000000	37899070	129	0	440	423	191	0	3755
Pre-demographic dividend	NA	0	0	0	1349.15316	1310000000000	3460000000000	970795671	NA	0	NA	NA	192	NA	NA
Puerto Rico	PRI	0	0	1	31429.8661	103000000000	113000000000	3281538	149	0	501	398	193	NA	NA
Korea, Dem. People's Rep.	PRK	113888	0	0	NA	NA	NA	25778815	NA	0	2495	0	194	0	9
Portugal	PRT	1727408	0	0	22194.5661	229000000000	352000000000	10297081	347	0	1793	2138	195	197	1720
Paraguay	PRY	0	1	0	4967.68721	35400000000	93000000000	7132530	12	0	0	0	196	NA	NA
West Bank and Gaza	PSE	0	0	0	3233.56864	15500000000	27400000000	4803269	1	0	40	NA	197	0	0
Pacific island small states	NA	0	0	0	3785.50341	9573379122	17100000000	2528958	NA	0	NA	NA	198	NA	NA
